Entity,Code,Year,"Per capita COâ‚‚ emissions from international flights, international tourism-adjusted"
Africa,,2015,530.3128
Africa,,2016,648.87286
Africa,,2017,706.4192
Africa,,2018,706.6127
Africa,,2019,721.6893
Africa,,2020,223.7163
Africa,,2021,248.06989
Argentina,ARG,2015,69.283104
Argentina,ARG,2016,100.46299
Argentina,ARG,2017,123.767975
Argentina,ARG,2018,115.533905
Argentina,ARG,2019,81.96603
Argentina,ARG,2020,27.301521
Argentina,ARG,2021,49.04162
Armenia,ARM,2015,58.34097
Armenia,ARM,2016,58.052765
Armenia,ARM,2017,71.2303
Armenia,ARM,2018,79.59806
Armenia,ARM,2019,79.22652
Armenia,ARM,2020,26.049587
Armenia,ARM,2021,31.66614
Asia,,2015,6756.337
Asia,,2016,6768.6313
Asia,,2017,6779.5938
Asia,,2018,6519.325
Asia,,2019,6380.922
Asia,,2020,2202.992
Asia,,2021,4231.822
Austria,AUT,2015,97.73656
Austria,AUT,2016,103.96023
Austria,AUT,2017,99.55911
Austria,AUT,2018,101.69491
Austria,AUT,2019,121.58219
Austria,AUT,2020,29.129688
Austria,AUT,2021,81.06661
Azerbaijan,AZE,2015,66.68499
Azerbaijan,AZE,2016,67.694885
Azerbaijan,AZE,2017,59.18177
Azerbaijan,AZE,2018,64.42093
Azerbaijan,AZE,2019,67.90995
Bahrain,BHR,2015,574.3033
Bahrain,BHR,2016,292.0387
Bahrain,BHR,2017,258.5844
Bahrain,BHR,2018,229.73251
Bahrain,BHR,2019,272.4352
Bahrain,BHR,2020,120.9019
Bangladesh,BGD,2019,37.08777
Belarus,BLR,2015,13.564606
Belarus,BLR,2016,5.7488685
Belarus,BLR,2017,8.84775
Belarus,BLR,2018,10.475962
Belarus,BLR,2019,13.674184
Belarus,BLR,2020,6.7565985
Belarus,BLR,2021,10.873455
Belgium,BEL,2015,320.9303
Belgium,BEL,2016,421.28604
Belgium,BEL,2017,426.5634
Belgium,BEL,2018,449.54834
Belgium,BEL,2019,509.6849
Belgium,BEL,2020,359.7888
Belgium,BEL,2021,505.02826
Bhutan,BTN,2019,3.7006235
Bolivia,BOL,2015,22.850248
Bolivia,BOL,2016,19.833458
Bolivia,BOL,2017,18.314247
Bolivia,BOL,2018,21.126564
Bolivia,BOL,2019,18.651377
Bolivia,BOL,2020,10.491038
Bolivia,BOL,2021,22.870178
Brazil,BRA,2015,53.83708
Brazil,BRA,2016,43.30726
Brazil,BRA,2017,49.048157
Brazil,BRA,2018,54.40981
Bulgaria,BGR,2015,35.296356
Bulgaria,BGR,2016,43.833145
Bulgaria,BGR,2017,56.6922
Bulgaria,BGR,2018,67.881996
Bulgaria,BGR,2019,87.27489
Bulgaria,BGR,2020,130.66676
Bulgaria,BGR,2021,105.444725
Cambodia,KHM,2015,6.3680325
Cambodia,KHM,2016,7.9308357
Cambodia,KHM,2017,10.898244
Cambodia,KHM,2018,13.259845
Cambodia,KHM,2019,14.273953
Cambodia,KHM,2020,3.0162106
Cambodia,KHM,2021,0.816447
Canada,CAN,2015,523.7326
Canada,CAN,2016,491.0201
Canada,CAN,2017,530.4378
Canada,CAN,2018,429.5921
Canada,CAN,2019,425.84958
Canada,CAN,2020,230.17805
Canada,CAN,2021,222.85219
Chile,CHL,2015,74.21613
Chile,CHL,2016,66.22109
Chile,CHL,2017,62.65559
Chile,CHL,2018,76.21943
Chile,CHL,2019,81.66701
Chile,CHL,2020,41.727123
Chile,CHL,2021,129.13766
China,CHN,2015,32.710644
China,CHN,2016,38.017242
China,CHN,2017,42.392666
China,CHN,2018,46.138878
China,CHN,2019,58.724644
China,CHN,2020,23.94692
Colombia,COL,2015,48.811317
Colombia,COL,2016,46.09303
Colombia,COL,2017,45.672222
Colombia,COL,2018,47.287834
Colombia,COL,2019,53.4788
Colombia,COL,2020,20.255552
Colombia,COL,2021,40.629616
Costa Rica,CRI,2015,40.494736
Costa Rica,CRI,2016,48.917313
Costa Rica,CRI,2017,51.848724
Costa Rica,CRI,2018,51.749363
Costa Rica,CRI,2019,57.71115
Costa Rica,CRI,2020,20.792469
Costa Rica,CRI,2021,48.550777
Croatia,HRV,2015,16.01061
Croatia,HRV,2016,10.688127
Croatia,HRV,2017,13.99495
Croatia,HRV,2018,16.589987
Croatia,HRV,2019,19.96058
Croatia,HRV,2020,3.89764
Croatia,HRV,2021,4.998891
Cuba,CUB,2015,15.04359
Cuba,CUB,2016,10.920158
Cuba,CUB,2017,13.185637
Cuba,CUB,2018,14.032659
Cuba,CUB,2019,15.762569
Cuba,CUB,2020,8.536024
Cuba,CUB,2021,15.931301
Czechia,CZE,2015,38.866478
Czechia,CZE,2016,42.5095
Czechia,CZE,2017,52.114265
Czechia,CZE,2018,62.69991
Czechia,CZE,2019,64.12532
Czechia,CZE,2020,21.877945
Democratic Republic of Congo,COD,2015,1.8251606
Democratic Republic of Congo,COD,2016,2.2937145
Denmark,DNK,2015,343.19742
Denmark,DNK,2016,401.04962
Denmark,DNK,2017,294.0518
Denmark,DNK,2018,281.51596
Denmark,DNK,2019,299.02997
Denmark,DNK,2020,110.83318
Denmark,DNK,2021,83.025505
Dominican Republic,DOM,2015,13.323121
Dominican Republic,DOM,2016,13.353666
Dominican Republic,DOM,2017,13.426208
Dominican Republic,DOM,2018,13.045331
Dominican Republic,DOM,2019,14.306547
Dominican Republic,DOM,2020,6.6642456
Dominican Republic,DOM,2021,14.65869
El Salvador,SLV,2015,62.447323
El Salvador,SLV,2016,70.01849
El Salvador,SLV,2017,62.66427
El Salvador,SLV,2018,56.747673
El Salvador,SLV,2019,64.57446
El Salvador,SLV,2020,20.940254
El Salvador,SLV,2021,40.48538
Estonia,EST,2015,40.52278
Estonia,EST,2016,43.854008
Estonia,EST,2017,46.54342
Estonia,EST,2018,81.07352
Estonia,EST,2019,67.19917
Estonia,EST,2020,21.094084
Estonia,EST,2021,63.447517
Eswatini,SWZ,2015,29.554466
Eswatini,SWZ,2016,4.99571
Eswatini,SWZ,2017,4.9383116
Eswatini,SWZ,2018,5.633362
Europe,,2015,6525.0815
Europe,,2016,6837.5664
Europe,,2017,7915.9883
Europe,,2018,8587.956
Europe,,2019,9074.791
Europe,,2020,3940.6604
Europe,,2021,4801.4653
Fiji,FJI,2016,76.33336
Fiji,FJI,2017,81.99582
Fiji,FJI,2018,88.95385
Fiji,FJI,2019,87.01399
Fiji,FJI,2020,33.588055
Fiji,FJI,2021,40.94003
Finland,FIN,2015,1073.863
Finland,FIN,2016,1057.3219
Finland,FIN,2017,991.5321
Finland,FIN,2018,1123.9965
Finland,FIN,2019,1178.5691
Finland,FIN,2020,365.84277
Finland,FIN,2021,300.77835
France,FRA,2015,78.98518
France,FRA,2016,79.76896
France,FRA,2017,85.121
France,FRA,2018,90.42225
France,FRA,2019,94.16352
France,FRA,2020,32.0128
France,FRA,2021,35.85509
Georgia,GEO,2015,54.091934
Georgia,GEO,2016,60.69609
Georgia,GEO,2017,76.72205
Georgia,GEO,2018,83.03265
Georgia,GEO,2019,71.740746
Germany,DEU,2015,655.51666
Germany,DEU,2016,719.68787
Germany,DEU,2017,704.68494
Germany,DEU,2018,808.75366
Germany,DEU,2019,741.44073
Ghana,GHA,2015,2.989928
Ghana,GHA,2016,3.3746903
Ghana,GHA,2017,3.6605656
Ghana,GHA,2018,3.6997292
Ghana,GHA,2019,3.5397513
Ghana,GHA,2020,3.8359969
Greece,GRC,2015,57.262802
Greece,GRC,2016,69.12795
Greece,GRC,2017,73.70745
Greece,GRC,2018,81.18095
Greece,GRC,2019,84.777794
Greece,GRC,2020,39.00064
Greece,GRC,2021,32.388878
Guatemala,GTM,2015,7.7111616
Guatemala,GTM,2016,8.312946
Guatemala,GTM,2017,8.149849
Guatemala,GTM,2018,9.531422
Guatemala,GTM,2019,11.970134
Guatemala,GTM,2020,6.5012665
Guatemala,GTM,2021,8.840163
Honduras,HND,2015,9.268232
Honduras,HND,2016,9.303116
Honduras,HND,2017,7.2470093
Honduras,HND,2018,7.5316963
Hungary,HUN,2015,28.438559
Hungary,HUN,2016,33.666973
Hungary,HUN,2017,37.882324
Hungary,HUN,2018,47.643482
Hungary,HUN,2019,57.52131
Hungary,HUN,2020,19.726273
Hungary,HUN,2021,22.67676
Iceland,ISL,2015,662.27
Iceland,ISL,2016,790.09015
Iceland,ISL,2017,920.3289
Iceland,ISL,2018,1042.6686
Iceland,ISL,2019,1004.48535
Iceland,ISL,2020,213.44305
Iceland,ISL,2021,359.3656
India,IND,2015,10.069758
India,IND,2016,10.471133
India,IND,2019,11.799961
India,IND,2020,3.5263402
India,IND,2021,3.9902177
Indonesia,IDN,2021,1.1158662
Iran,IRN,2021,10.490489
Israel,ISR,2015,600.5416
Israel,ISR,2016,693.3515
Israel,ISR,2017,690.05554
Israel,ISR,2018,739.8799
Israel,ISR,2019,760.6669
Israel,ISR,2020,223.97688
Israel,ISR,2021,1110.8022
Italy,ITA,2015,79.13667
Italy,ITA,2016,87.38897
Italy,ITA,2017,89.43003
Italy,ITA,2018,96.82581
Italy,ITA,2019,103.21212
Italy,ITA,2020,26.396015
Italy,ITA,2021,31.668228
Jordan,JOR,2016,35.85654
Jordan,JOR,2017,34.107986
Jordan,JOR,2018,30.627329
Jordan,JOR,2019,29.915861
Jordan,JOR,2020,9.209985
Jordan,JOR,2021,19.576122
Latvia,LVA,2015,97.93129
Latvia,LVA,2016,113.295876
Latvia,LVA,2017,101.79494
Latvia,LVA,2018,119.55791
Latvia,LVA,2019,136.3673
Latvia,LVA,2020,38.4215
Latvia,LVA,2021,106.14206
Lithuania,LTU,2015,72.022224
Lithuania,LTU,2016,75.26658
Lithuania,LTU,2017,77.465546
Lithuania,LTU,2018,92.87975
Lithuania,LTU,2019,97.29671
Lithuania,LTU,2020,36.458954
Lithuania,LTU,2021,59.340492
Luxembourg,LUX,2015,402.16885
Luxembourg,LUX,2016,417.73346
Luxembourg,LUX,2017,678.0036
Luxembourg,LUX,2018,810.2629
Luxembourg,LUX,2019,1325.5044
Luxembourg,LUX,2020,1164.2484
Luxembourg,LUX,2021,1235.5701
Malawi,MWI,2019,0.19892916
Malta,MLT,2015,166.11908
Malta,MLT,2016,191.28047
Malta,MLT,2017,204.92052
Malta,MLT,2018,229.5667
Malta,MLT,2019,244.45018
Malta,MLT,2020,104.99865
Malta,MLT,2021,145.35645
Mauritius,MUS,2015,132.12918
Mauritius,MUS,2016,141.78734
Mauritius,MUS,2017,157.04173
Mauritius,MUS,2018,158.88763
Mauritius,MUS,2019,159.68185
Mauritius,MUS,2020,47.646034
Mauritius,MUS,2021,35.54188
Mexico,MEX,2015,26.510004
Mexico,MEX,2016,26.634798
Mexico,MEX,2017,24.55869
Mexico,MEX,2018,25.410612
Mexico,MEX,2019,24.389076
Mexico,MEX,2020,7.999846
Mexico,MEX,2021,14.515126
Moldova,MDA,2015,78.10492
Moldova,MDA,2016,58.235287
Moldova,MDA,2017,79.71077
Moldova,MDA,2018,84.0948
Moldova,MDA,2019,86.11421
Moldova,MDA,2020,53.92466
Moldova,MDA,2021,118.96259
Morocco,MAR,2015,9.474672
Morocco,MAR,2016,9.21481
Morocco,MAR,2017,9.107247
Morocco,MAR,2018,9.424289
Morocco,MAR,2019,9.71571
Morocco,MAR,2020,4.2593455
Morocco,MAR,2021,5.45987
Nepal,NPL,2017,22.501352
Netherlands,NLD,2015,542.4847
Netherlands,NLD,2016,565.2974
Netherlands,NLD,2017,601.2243
Netherlands,NLD,2018,606.53046
Netherlands,NLD,2019,596.90497
Netherlands,NLD,2020,292.9053
Netherlands,NLD,2021,564.0867
New Zealand,NZL,2015,446.24567
New Zealand,NZL,2016,510.2155
New Zealand,NZL,2017,600.33234
New Zealand,NZL,2018,632.4976
New Zealand,NZL,2019,617.81024
New Zealand,NZL,2020,155.19946
New Zealand,NZL,2021,198.72299
Nicaragua,NIC,2015,10.408171
Nicaragua,NIC,2016,10.293682
Nicaragua,NIC,2017,8.462202
Nicaragua,NIC,2018,8.80757
Nicaragua,NIC,2019,7.325877
Nicaragua,NIC,2020,3.3264866
Nicaragua,NIC,2021,8.453569
North America,,2015,1090.0663
North America,,2016,1144.6315
North America,,2017,1171.6694
North America,,2018,1132.1696
North America,,2019,1231.8038
North America,,2020,615.57855
North America,,2021,374.2872
Norway,NOR,2015,512.3346
Norway,NOR,2016,422.87286
Norway,NOR,2017,410.21927
Norway,NOR,2018,466.6119
Norway,NOR,2019,515.64294
Norway,NOR,2020,141.74571
Norway,NOR,2021,145.21863
Oceania,,2015,552.5541
Oceania,,2016,603.2175
Oceania,,2017,781.86536
Oceania,,2018,962.03015
Oceania,,2019,936.1085
Oceania,,2020,282.82953
Oceania,,2021,339.26907
Oman,OMN,2015,561.02386
Oman,OMN,2016,546.36237
Oman,OMN,2017,681.63184
Oman,OMN,2018,541.207
Oman,OMN,2019,648.8015
Oman,OMN,2020,183.84583
Oman,OMN,2021,276.06442
Panama,PAN,2015,198.8072
Panama,PAN,2016,245.98677
Panama,PAN,2017,218.58986
Panama,PAN,2018,271.55536
Panama,PAN,2019,339.30457
Panama,PAN,2020,149.42787
Paraguay,PRY,2015,12.580584
Paraguay,PRY,2016,21.781937
Paraguay,PRY,2017,21.332373
Paraguay,PRY,2018,31.983839
Paraguay,PRY,2019,26.082132
Paraguay,PRY,2020,9.9063635
Paraguay,PRY,2021,47.826054
Peru,PER,2015,42.41944
Peru,PER,2016,44.549973
Peru,PER,2017,45.712967
Peru,PER,2018,45.40453
Peru,PER,2019,45.916767
Peru,PER,2020,17.957067
Peru,PER,2021,34.14497
Philippines,PHL,2015,32.881584
Philippines,PHL,2016,37.078682
Poland,POL,2015,25.401447
Poland,POL,2016,29.722536
Poland,POL,2017,36.16636
Poland,POL,2018,42.77355
Poland,POL,2019,47.932976
Poland,POL,2020,22.732567
Poland,POL,2021,28.507467
Portugal,PRT,2015,48.664604
Portugal,PRT,2016,48.159557
Portugal,PRT,2017,53.324764
Portugal,PRT,2018,63.85302
Portugal,PRT,2019,80.84528
Portugal,PRT,2020,28.198929
Portugal,PRT,2021,35.04853
Samoa,WSM,2015,79.72765
Samoa,WSM,2017,79.45934
Samoa,WSM,2018,101.819016
Samoa,WSM,2019,100.17646
Samoa,WSM,2020,43.20563
Samoa,WSM,2021,36.40096
Saudi Arabia,SAU,2015,210.79489
Saudi Arabia,SAU,2016,233.17313
Saudi Arabia,SAU,2017,263.0677
Saudi Arabia,SAU,2018,250.36359
Saudi Arabia,SAU,2019,204.6879
Saudi Arabia,SAU,2020,67.68315
Saudi Arabia,SAU,2021,137.34033
Seychelles,SYC,2015,345.17474
Seychelles,SYC,2016,457.32297
Seychelles,SYC,2017,514.8453
Seychelles,SYC,2018,496.5903
Seychelles,SYC,2019,517.7126
Seychelles,SYC,2020,157.39119
Seychelles,SYC,2021,182.63264
Sierra Leone,SLE,2015,6.6911106
Sierra Leone,SLE,2016,5.924764
Sierra Leone,SLE,2017,7.9738617
Sierra Leone,SLE,2018,7.8069124
Sierra Leone,SLE,2019,5.530656
Sierra Leone,SLE,2020,2.0541675
Sierra Leone,SLE,2021,1.5062094
Singapore,SGP,2015,1462.9143
Singapore,SGP,2016,1475.9283
Singapore,SGP,2017,1473.5908
Singapore,SGP,2018,1535.9829
Singapore,SGP,2019,1568.847
Singapore,SGP,2020,526.8117
Singapore,SGP,2021,1790.2391
Slovenia,SVN,2015,35.809612
Slovenia,SVN,2016,32.17089
Slovenia,SVN,2017,33.277397
Slovenia,SVN,2018,34.547035
Slovenia,SVN,2019,30.272797
Slovenia,SVN,2020,13.495261
Slovenia,SVN,2021,31.023615
South America,,2015,423.92172
South America,,2016,435.83377
South America,,2017,443.76773
South America,,2018,444.27756
South America,,2019,369.97836
South America,,2020,127.638664
South America,,2021,323.6501
Spain,ESP,2015,61.13307
Spain,ESP,2016,66.04863
Spain,ESP,2017,72.12609
Spain,ESP,2018,83.30443
Spain,ESP,2019,89.42591
Spain,ESP,2020,32.00322
Spain,ESP,2021,37.481983
Sri Lanka,LKA,2015,48.218983
Sri Lanka,LKA,2016,47.449326
Sri Lanka,LKA,2017,46.464485
Sri Lanka,LKA,2018,47.158005
Sri Lanka,LKA,2019,48.927803
Sri Lanka,LKA,2020,13.798778
Sri Lanka,LKA,2021,38.254272
Sweden,SWE,2017,708.61005
Sweden,SWE,2018,639.32074
Sweden,SWE,2019,587.41547
Sweden,SWE,2020,175.5526
Sweden,SWE,2021,170.25879
Switzerland,CHE,2015,903.69714
Switzerland,CHE,2016,864.66034
Switzerland,CHE,2017,906.4055
Switzerland,CHE,2018,888.40906
Switzerland,CHE,2019,728.13403
Switzerland,CHE,2020,412.8726
Switzerland,CHE,2021,408.66846
Tanzania,TZA,2021,0.5321484
Thailand,THA,2015,34.986656
Thailand,THA,2016,41.353733
Thailand,THA,2017,42.84462
Thailand,THA,2018,47.956085
Thailand,THA,2019,47.767998
Togo,TGO,2016,8.025483
Togo,TGO,2017,6.6955266
Togo,TGO,2018,5.7132287
Togo,TGO,2019,4.168356
Tunisia,TUN,2016,13.653704
Tunisia,TUN,2018,18.8572
Tunisia,TUN,2019,19.182295
Tunisia,TUN,2020,7.6606674
Tunisia,TUN,2021,19.89471
Turkey,TUR,2015,24.915468
Turkey,TUR,2016,29.37363
Turkey,TUR,2017,26.317919
Turkey,TUR,2018,22.393488
Turkey,TUR,2019,27.598064
Turkey,TUR,2020,7.8019085
Turkey,TUR,2021,8.2194805
Tuvalu,TUV,2018,115.57171
Tuvalu,TUV,2019,104.051125
Tuvalu,TUV,2020,41.925156
Tuvalu,TUV,2021,63.205097
Uganda,UGA,2015,2.4735193
Uganda,UGA,2016,2.279667
Uganda,UGA,2017,2.1566148
Uganda,UGA,2019,1.9591893
Uganda,UGA,2020,0.86889094
Uganda,UGA,2021,2.5024192
Ukraine,UKR,2015,37.611664
Ukraine,UKR,2016,42.840187
Ukraine,UKR,2017,51.68533
Ukraine,UKR,2018,63.271713
Ukraine,UKR,2019,61.78265
Ukraine,UKR,2020,42.63579
Ukraine,UKR,2021,79.18156
United Arab Emirates,ARE,2015,2977.4902
United Arab Emirates,ARE,2016,3093.8025
United Arab Emirates,ARE,2017,2980.002
United Arab Emirates,ARE,2018,2787.5742
United Arab Emirates,ARE,2019,2426.8096
United Arab Emirates,ARE,2020,992.4227
United Arab Emirates,ARE,2021,803.2467
United States,USA,2015,182.3202
United States,USA,2016,209.87048
United States,USA,2017,233.09917
United States,USA,2018,244.16571
United States,USA,2019,270.60983
United States,USA,2020,161.21199
Uruguay,URY,2015,65.058334
Uruguay,URY,2016,47.990696
Uruguay,URY,2017,43.18802
Uruguay,URY,2018,52.31165
Uruguay,URY,2019,62.21627
Vanuatu,VUT,2015,26.580751
Vanuatu,VUT,2016,16.668669
Vanuatu,VUT,2017,20.077877
Vanuatu,VUT,2018,23.187965
Vanuatu,VUT,2019,27.05674
Vanuatu,VUT,2020,8.911227
Venezuela,VEN,2015,34.865482
Venezuela,VEN,2016,45.59333
Venezuela,VEN,2017,34.07619
World,OWID_WRL,2015,15878.273
World,OWID_WRL,2016,16438.754
World,OWID_WRL,2017,17799.303
World,OWID_WRL,2018,18352.371
World,OWID_WRL,2019,18715.293
World,OWID_WRL,2020,7393.4155
World,OWID_WRL,2021,10318.563